Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.1818,0.0,0.1818,0,0.1818,7.456,7.65,0,0.0,7.65,1,1,0.8284,1.0,-,[59.  2.  9. 11.  0.  9.  5.  0.  1.  0.  2. 81. 40.],[59.  2.  9. 11.  0.  9.  5.  0.  0.  0.  2. 81. 40.]
2,sat,2,0,0,0,0,0.1818,0.0,0.1818,0,0.1818,35.537,35.74,0,0.0,35.74,1,1,0.8284,1.0,-,[60.  2.  9. 14.  5.  7.  0.  2.  0.  0.  8. 62. 10.],[60.  2.  9. 14.  5.  7.  0.  2.  1.  0.  8. 62. 10.]
3,sat,3,0,0,1,1,0.0909,0.0,0.0909,0.0909,0.1818,100.044,100.26,12.315,12.37,112.62,1,1,0.8284,1.0,-,[21.  1.  6. 10.  0.  5.  0.  4.  0.  0. 19. 58. 40.],[21.  1.  6. 10.  0.  5.  0.  4.  1.  0. 19. 58. 40.]
4,unsat,3,1,0,0,0,0.2727,0.0,0.2727,0,0.2727,6.134,6.34,0,0.0,6.34,0,0,0.8284,1.0,-,,
5,unsat,3,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,8.196,8.35,0,0.0,8.35,0,0,0.8284,1.0,-,,
6,sat,4,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,9.058,9.24,0,0.0,9.24,1,1,0.8284,1.0,-,[99.  0. 14. 11.  5. 10.  5.  1.  0. 17.  5.  4.  9.],[99.  0. 14. 11.  5. 10.  5.  1.  1. 17.  5.  4.  9.]
7,sat,5,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,10.728,10.91,0,0.0,10.91,1,1,0.8284,1.0,-,[32.  2.  0. 16.  2. 13.  5.  4.  1. 11.  9. 31. 20.],[32.  2.  0. 16.  2. 13.  5.  4.  0. 11.  9. 31. 20.]
8,sat,6,2,0,0,0,0.3636,0.0,0.3636,0,0.3636,5.493,5.68,0,0.0,5.68,1,1,0.8284,1.0,-,[49.  5. 10. 16.  5. 10.  5.  4.  0. 17.  2. 11. 15.],[49.  5. 10. 16.  5. 10.  5.  4.  1. 17.  2. 11. 15.]
9,sat,7,2,0,0,0,0.2727,0.0,0.2727,0,0.2727,9.91,10.13,0,0.0,10.13,1,1,0.8284,1.0,-,[51.  6.  2.  7.  3.  9.  0.  2.  0. 19. 19. 41. 15.],[51.  6.  2.  7.  3.  9.  0.  2.  1. 19. 19. 41. 15.]
10,unsat,7,3,0,0,0,0.3636,0.0,0.3636,0,0.3636,6.363,6.52,0,0.0,6.52,0,0,0.8284,1.0,-,,
11,sat,8,3,0,0,0,0.3636,0.0,0.3636,0,0.3636,6.805,6.99,0,0.0,6.99,1,1,0.8284,1.0,-,[90.  1. 10. 10.  3.  1.  4.  0.  0. 19. 11. 13. 40.],[90.  1. 10. 10.  3.  1.  4.  0.  1. 19. 11. 13. 40.]
12,sat,9,3,0,0,0,0.2727,0.0,0.2727,0,0.2727,17.497,17.71,0,0.0,17.71,1,1,0.8284,1.0,-,[99.  1.  9. 11.  0.  0.  5.  0.  0. 10. 11. 28.  9.],[99.  1.  9. 11.  0.  0.  5.  0.  1. 10. 11. 28.  9.]
13,sat,10,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,19.111,19.3,0,0.0,19.3,1,1,0.8284,1.0,-,[89.  6. 10. 16.  0. 13.  0.  4.  1.  9.  9. 41. 30.],[89.  6. 10. 16.  0. 13.  0.  4.  0.  9.  9. 41. 30.]
14,sat,11,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,17.971,18.16,0,0.0,18.16,1,1,0.8284,1.0,-,[69.  0. 11. 11.  4. 12.  0.  4.  0.  0. 10. 10. 26.],[69.  0. 11. 11.  4. 12.  0.  4.  1.  0. 10. 10. 26.]
15,sat,12,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,23.812,24.01,0,0.0,24.01,1,1,0.8284,1.0,-,[100.   6.  10.   1.   2.   9.   0.   0.   1.   0.  10. 100.  40.],[100.   6.  10.   1.   2.   9.   0.   0.   0.   0.  10. 100.  40.]
16,sat,13,3,0,0,0,0.3636,0.0,0.3636,0,0.3636,30.335,30.52,0,0.0,30.52,1,1,0.8284,1.0,-,[27.  5.  1.  1.  3.  3.  4.  1.  1. 11. 10. 11. 10.],[27.  5.  1.  1.  3.  3.  4.  1.  0. 11. 10. 11. 10.]
17,sat,14,3,0,0,0,0.2727,0.0,0.2727,0,0.2727,11.465,11.68,0,0.0,11.68,1,1,0.8284,1.0,-,[47.  3. 15. 16.  0.  9.  0.  2.  0. 19.  9. 61. 10.],[47.  3. 15. 16.  0.  9.  0.  2.  1. 19.  9. 61. 10.]
18,sat,15,3,0,0,0,0.1818,0.0,0.1818,0,0.1818,22.333,22.5,0,0.0,22.5,1,1,0.8284,1.0,-,[40.  1. 15.  9.  1.  3.  1.  0.  0.  0.  3. 42. 39.],[40.  1. 15.  9.  1.  3.  1.  0.  1.  0.  3. 42. 39.]
19,sat,16,3,0,0,0,0.2727,0.0,0.2727,0,0.2727,17.926,18.14,0,0.0,18.14,1,1,0.8284,1.0,-,[80.  1.  7. 10.  1.  9.  0.  4.  1. 19. 19. 51. 39.],[80.  1.  7. 10.  1.  9.  0.  4.  0. 19. 19. 51. 39.]
20,unsat,16,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,20.974,21.23,0,0.0,21.23,0,0,0.8284,1.0,-,,
21,sat,17,4,0,0,0,0.2727,0.0,0.2727,0,0.2727,12.902,13.11,0,0.0,13.11,1,1,0.8284,1.0,-,[60.  3.  7. 16.  0. 13.  0.  4.  1. 13. 19. 61. 11.],[60.  3.  7. 16.  0. 13.  0.  4.  0. 13. 19. 61. 11.]
22,sat,18,4,0,0,0,0.2727,0.0,0.2727,0,0.2727,31.581,31.79,0,0.0,31.79,1,1,0.8284,1.0,-,[54.  1. 11. 16.  0.  9.  0.  4.  1. 19.  9. 62. 18.],[54.  1. 11. 16.  0.  9.  0.  4.  0. 19.  9. 62. 18.]
23,sat,19,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,28.12,28.31,0,0.0,28.31,1,1,0.8284,1.0,-,[31.  0. 10. 11.  3. 11.  5.  2.  0.  0.  0. 70. 19.],[31.  0. 10. 11.  3. 11.  5.  2.  1.  0.  0. 70. 19.]
24,sat,20,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,40.475,40.67,0,0.0,40.67,1,1,0.8284,1.0,-,[61.  2.  5.  2.  2.  9.  1.  0.  0.  0. 13. 57. 38.],[61.  2.  5.  2.  2.  9.  1.  0.  1.  0. 13. 57. 38.]
25,sat,21,4,0,0,0,0.0909,0.0,0.0909,0,0.0909,29.063,29.24,0,0.0,29.24,1,1,0.8284,1.0,-,[18.  2.  0.  1.  0.  6.  2.  0.  1.  0. 19. 77. 32.],[18.  2.  0.  1.  0.  6.  2.  0.  0.  0. 19. 77. 32.]
26,sat,22,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,49.646,49.84,0,0.0,49.84,1,1,0.8284,1.0,-,[100.   6.   0.   5.   3.   9.   0.   3.   1.   1.  12.  31.   1.],[100.   6.   0.   5.   3.   9.   0.   3.   0.   1.  12.  31.   1.]
27,sat,23,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,36.927,37.13,0,0.0,37.13,1,1,0.8284,1.0,-,[81.  5. 12. 10.  1.  0.  5.  0.  1.  3.  9.  4.  8.],[81.  5. 12. 10.  1.  0.  5.  0.  0.  3.  9.  4.  8.]
28,sat,24,4,0,0,0,0.2727,0.0,0.2727,0,0.2727,75.55,75.76,0,0.0,75.76,1,1,0.8284,1.0,-,[95.  5.  9. 16.  3.  0.  0.  3.  0. 19.  3. 22. 30.],[95.  5.  9. 16.  3.  0.  0.  3.  1. 19.  3. 22. 30.]
29,sat,25,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,19.357,19.55,0,0.0,19.55,1,1,0.8284,1.0,-,[59.  6.  7.  5.  2. 13.  5.  3.  0.  0. 13. 52. 40.],[59.  6.  7.  5.  2. 13.  5.  3.  1.  0. 13. 52. 40.]
30,unsat,25,5,0,0,0,0.2727,0.0909,0.3636,0,0.3636,4.88,5.11,0,0.0,5.11,0,0,0.8284,1.0,-,,
31,sat,26,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,23.404,23.6,0,0.0,23.6,1,1,0.8284,1.0,-,[100.   6.   0.   8.   4.   9.   0.   0.   1.   0.  15.  73.  12.],[100.   6.   0.   8.   4.   9.   0.   0.   0.   0.  15.  73.  12.]
32,sat,27,5,0,0,0,0.0909,0.0,0.0909,0,0.0909,18.353,18.52,0,0.0,18.52,1,1,0.8284,1.0,-,[10.  6. 10.  7.  1. 10.  1.  3.  1.  0. 19. 88. 40.],[10.  6. 10.  7.  1. 10.  1.  3.  0.  0. 19. 88. 40.]
33,sat,28,5,0,0,0,0.3636,0.0,0.3636,0,0.3636,7.243,7.44,0,0.0,7.44,1,1,0.8284,1.0,-,[67.  2.  8. 16.  3.  0.  1.  0.  0. 19. 10.  4. 26.],[67.  2.  8. 16.  3.  0.  1.  0.  1. 19. 10.  4. 26.]
34,sat,29,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,7.433,7.63,0,0.0,7.63,1,1,0.8284,1.0,-,[70.  2. 10. 11.  6.  9.  0.  0.  1.  1.  1. 81. 23.],[70.  2. 10. 11.  6.  9.  0.  0.  0.  1.  1. 81. 23.]
35,sat,30,5,0,0,0,0.3636,0.0,0.3636,0,0.3636,14.741,14.93,0,0.0,14.93,1,1,0.8284,1.0,-,[31.  4. 15.  1.  4.  0.  5.  2.  1. 14. 16.  8.  0.],[31.  4. 15.  1.  4.  0.  5.  2.  0. 14. 16.  8.  0.]
36,sat,31,5,0,0,0,0.3636,0.0,0.3636,0,0.3636,11.895,12.08,0,0.0,12.08,1,1,0.8284,1.0,-,[90.  5.  2. 16.  0.  9.  0.  1.  1. 19. 16. 59. 40.],[90.  5.  2. 16.  0.  9.  0.  1.  0. 19. 16. 59. 40.]
37,unsat,31,6,0,0,0,0.1818,0.0,0.1818,0,0.1818,31.426,31.69,0,0.0,31.69,0,0,0.8284,1.0,-,,
38,sat,32,6,0,0,0,0.2727,0.0,0.2727,0,0.2727,10.429,10.64,0,0.0,10.64,1,1,0.8284,1.0,-,[30.  6.  9. 10.  0.  7.  5.  3.  0. 15.  9. 51.  9.],[30.  6.  9. 10.  0.  7.  5.  3.  1. 15.  9. 51.  9.]
39,sat,33,6,0,0,0,0.3636,0.0,0.3636,0,0.3636,5.263,5.45,0,0.0,5.45,1,1,0.8284,1.0,-,[99.  6.  4. 16.  0. 12.  0.  3.  0. 18. 14. 71.  2.],[99.  6.  4. 16.  0. 12.  0.  3.  1. 18. 14. 71.  2.]
40,sat,34,6,0,0,0,0.1818,0.0,0.1818,0,0.1818,62.961,63.16,0,0.0,63.16,1,1,0.8284,1.0,-,[63.  6. 13. 12.  2.  9.  0.  4.  0.  0.  0. 31. 29.],[63.  6. 13. 12.  2.  9.  0.  4.  1.  0.  0. 31. 29.]
41,sat,35,6,0,0,0,0.1818,0.0,0.1818,0,0.1818,23.289,23.48,0,0.0,23.48,1,1,0.8284,1.0,-,[60.  1.  0. 11.  0.  5.  5.  4.  0.  1. 14. 21. 19.],[60.  1.  0. 11.  0.  5.  5.  4.  1.  1. 14. 21. 19.]
42,sat,36,6,0,0,0,0.0909,0.0,0.0909,0,0.0909,6.212,6.39,0,0.0,6.39,1,1,0.8284,1.0,-,[10.  6.  0. 11.  0. 10.  3.  0.  1.  0.  8. 94. 40.],[10.  6.  0. 11.  0. 10.  3.  0.  0.  0.  8. 94. 40.]
43,unsat,36,7,0,0,0,0.1818,0.0,0.1818,0,0.1818,21.916,22.17,0,0.0,22.17,0,0,0.8284,1.0,-,,
44,sat,37,7,0,0,0,0.3636,0.0,0.3636,0,0.3636,3.817,4.02,0,0.0,4.02,1,1,0.8284,1.0,-,[18.  5. 10. 11.  0.  9.  5.  4.  0. 10. 10.  1. 20.],[18.  5. 10. 11.  0.  9.  5.  4.  1. 10. 10.  1. 20.]
45,sat,38,7,0,0,0,0.1818,0.0,0.1818,0,0.1818,24.885,25.08,0,0.0,25.08,1,1,0.8284,1.0,-,[59.  3.  9. 13.  4.  0.  5.  4.  0.  0.  0. 80. 40.],[59.  3.  9. 13.  4.  0.  5.  4.  1.  0.  0. 80. 40.]
46,sat,39,7,0,0,0,0.2727,0.0,0.2727,0,0.2727,14.304,14.52,0,0.0,14.52,1,1,0.8284,1.0,-,[60.  6.  3. 10.  3. 13.  4.  4.  1. 19.  9. 41. 13.],[60.  6.  3. 10.  3. 13.  4.  4.  0. 19.  9. 41. 13.]
47,sat,40,7,0,0,0,0.1818,0.0,0.1818,0,0.1818,31.437,31.63,0,0.0,31.63,1,1,0.8284,1.0,-,[90.  6.  1.  3.  2. 13.  1.  4.  1.  0. 12. 81. 35.],[90.  6.  1.  3.  2. 13.  1.  4.  0.  0. 12. 81. 35.]
48,sat,41,7,0,0,0,0.2727,0.0,0.2727,0,0.2727,29.014,29.22,0,0.0,29.22,1,1,0.8284,1.0,-,[69.  6.  0. 13.  0. 13.  2.  3.  1. 19.  9. 61. 38.],[69.  6.  0. 13.  0. 13.  2.  3.  0. 19.  9. 61. 38.]
49,sat,42,7,0,0,0,0.3636,0.0,0.3636,0,0.3636,7.991,8.18,0,0.0,8.18,1,1,0.8284,1.0,-,[79.  0. 15. 15.  0. 13.  5.  0.  0. 12. 12. 40. 19.],[79.  0. 15. 15.  0. 13.  5.  0.  1. 12. 12. 40. 19.]
50,sat,43,7,0,0,0,0.1818,0.0,0.1818,0,0.1818,33.079,33.27,0,0.0,33.27,1,1,0.8284,1.0,-,[55.  4. 15.  4.  4.  2.  4.  4.  1.  0. 19. 81.  6.],[55.  4. 15.  4.  4.  2.  4.  4.  0.  0. 19. 81.  6.]
51,unsat,43,8,0,0,0,0.2727,0.0,0.2727,0,0.2727,10.883,11.09,0,0.0,11.09,0,0,0.8284,1.0,-,,
52,unsat,43,9,0,0,0,0.2727,0.0,0.2727,0,0.2727,3.452,3.67,0,0.0,3.67,0,0,0.8284,1.0,-,,
53,sat,44,9,0,1,1,0.0909,0.0,0.0909,0.0909,0.1818,100.126,100.34,13.008,13.06,113.4,1,1,0.8284,1.0,-,[19.  0.  0. 10.  0.  1.  5.  0.  0.  0. 12. 30. 30.],[19.  0.  0. 10.  0.  1.  5.  0.  1.  0. 12. 30. 30.]
54,sat,45,9,0,0,0,0.1818,0.0,0.1818,0,0.1818,42.949,43.14,0,0.0,43.15,1,1,0.8284,1.0,-,[100.   1.  10.   3.   0.   2.   0.   4.   1.   2.   6.  12.  20.],[100.   1.  10.   3.   0.   2.   0.   4.   0.   2.   6.  12.  20.]
55,sat,46,9,0,0,0,0.2727,0.0,0.2727,0,0.2727,11.097,11.31,0,0.0,11.31,1,1,0.8284,1.0,-,[80.  6. 10. 16.  0. 13.  0.  2.  0. 19.  9. 61. 30.],[80.  6. 10. 16.  0. 13.  0.  2.  1. 19.  9. 61. 30.]
56,unsat,46,10,0,0,0,0.1818,0.0,0.1818,0,0.1818,15.485,15.7,0,0.0,15.7,0,0,0.8284,1.0,-,,
57,sat,47,10,0,0,0,0.1818,0.0,0.1818,0,0.1818,18.591,18.78,0,0.0,18.78,1,1,0.8284,1.0,-,[78.  1. 12.  1.  2. 13.  0.  0.  0.  0. 10. 81.  9.],[78.  1. 12.  1.  2. 13.  0.  0.  1.  0. 10. 81.  9.]
58,sat,48,10,0,0,0,0.1818,0.0,0.1818,0,0.1818,6.558,6.72,0,0.0,6.72,1,1,0.8284,1.0,-,[30.  5. 15. 13.  1. 12.  4.  0.  0.  0. 10. 41. 40.],[30.  5. 15. 13.  1. 12.  4.  0.  1.  0. 10. 41. 40.]
59,sat,49,10,0,0,0,0.3636,0.0,0.3636,0,0.3636,11.714,11.9,0,0.0,11.9,1,1,0.8284,1.0,-,[90.  0. 14. 16.  0.  2.  0.  0.  0. 19. 19. 47. 39.],[90.  0. 14. 16.  0.  2.  0.  0.  1. 19. 19. 47. 39.]
60,sat,50,10,0,1,1,0.1818,0.0,0.1818,0.0,0.1818,100.017,100.18,48.312,48.36,148.54,1,1,0.8284,1.0,-,[28.  3.  9. 12.  1. 11.  5.  1.  1.  0.  0. 41. 35.],[28.  3.  9. 12.  1. 11.  5.  1.  0.  0.  0. 41. 35.]
61,sat,51,10,0,0,0,0.2727,0.0,0.2727,0,0.2727,14.476,14.69,0,0.0,14.69,1,1,0.8284,1.0,-,[39.  1. 10.  1.  0. 13.  0.  4.  1. 13.  0. 42. 22.],[39.  1. 10.  1.  0. 13.  0.  4.  0. 13.  0. 42. 22.]
62,sat,52,10,0,0,0,0.3636,0.0,0.3636,0,0.3636,2.672,2.83,0,0.0,2.83,1,1,0.8284,1.0,-,[29.  6. 13.  1.  0.  9.  5.  4.  0. 10. 10. 11. 25.],[29.  6. 13.  1.  0.  9.  5.  4.  1. 10. 10. 11. 25.]
63,sat,53,10,0,0,0,0.1818,0.0,0.1818,0,0.1818,54.543,54.71,0,0.0,54.71,1,1,0.8284,1.0,-,[40.  2. 12.  2.  0. 10.  1.  0.  0.  1. 11. 30. 40.],[40.  2. 12.  2.  0. 10.  1.  0.  1.  1. 11. 30. 40.]
