Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.472,0.0,0.472,0.144,0.616,100.31,109.25,100.032,100.29,209.54,0,0,0.8485,1.0,-,,
2,unknown,0,0,2,1,0,0.456,0.0,0.456,0.16,0.616,100.142,109.18,100.105,100.37,209.55,0,0,0.8485,1.0,-,,
3,unknown,0,0,3,1,0,0.392,0.0,0.392,0.168,0.56,104.511,114.84,102.362,102.69,217.53,0,0,0.8485,1.0,-,,
4,unsat,0,1,3,1,1,0.792,0.0,0.792,0.008,0.8,100.012,101.29,41.627,41.74,143.03,0,0,0.8485,1.0,-,,
5,unsat,0,2,3,0,0,0.8,0.0,0.8,0,0.8,27.187,28.11,0,0.0,28.11,0,0,0.8485,1.0,-,,
6,unknown,0,2,4,1,0,0.664,0.0,0.664,0.096,0.76,100.188,102.67,100.188,100.33,203.0,0,0,0.8485,1.0,-,,
7,unsat,0,3,4,0,0,0.824,0.0,0.824,0,0.824,71.511,72.23,0,0.0,72.23,0,0,0.8485,1.0,-,,
8,unknown,0,3,5,1,0,0.744,0.0,0.744,0.056,0.8,100.501,102.55,100.019,100.13,202.68,0,0,0.8485,1.0,-,,
9,unsat,0,4,5,1,1,0.736,0.0,0.736,0.048,0.784,100.077,102.85,25.47,25.59,128.44,0,0,0.8485,1.0,-,,
10,unsat,0,5,5,0,0,0.808,0.0,0.808,0,0.808,3.533,4.61,0,0.0,4.61,0,0,0.8485,1.0,-,,
11,unknown,0,5,6,1,0,0.696,0.0,0.696,0.08,0.776,100.087,102.47,100.326,100.45,202.93,0,0,0.8485,1.0,-,,
12,unknown,0,5,7,1,0,0.672,0.0,0.672,0.064,0.736,100.069,102.91,100.124,100.28,203.19,0,0,0.8485,1.0,-,,
1,unsat,0,1,0,1,1,0.656,0.0,0.656,0.112,0.768,100.045,103.39,44.111,44.22,147.62,0,0,0.8485,1.0,-,,
2,unsat,0,2,0,1,1,0.8,0.0,0.8,0.008,0.808,100.032,101.21,27.723,27.81,129.02,0,0,0.8485,1.0,-,,
3,unknown,0,2,1,1,0,0.648,0.0,0.648,0.128,0.776,100.436,103.26,100.03,100.15,203.41,0,0,0.8485,1.0,-,,
4,unknown,0,2,2,1,0,0.44,0.0,0.44,0.136,0.576,101.419,108.4,100.365,100.64,209.04,0,0,0.8485,1.0,-,,
5,unsat,0,3,2,0,0,0.808,0.0,0.808,0,0.808,29.83,31.02,0,0.0,31.02,0,0,0.8485,1.0,-,,
6,unknown,0,3,3,1,0,0.488,0.0,0.488,0.168,0.656,100.583,107.77,100.547,100.75,208.52,0,0,0.8485,1.0,-,,
7,unknown,0,3,4,1,0,0.48,0.0,0.48,0.16,0.64,100.651,107.79,100.651,100.86,208.65,0,0,0.8485,1.0,-,,
8,unsat,0,4,4,1,1,0.704,0.0,0.704,0.096,0.8,100.318,103.11,3.151,3.25,106.36,0,0,0.8485,1.0,-,,
9,unknown,0,4,5,1,0,0.352,0.0,0.352,0.216,0.568,106.814,116.16,100.259,100.55,216.71,0,0,0.8485,1.0,-,,
10,unsat,0,5,5,1,1,0.736,0.0,0.736,0.064,0.8,100.184,102.74,6.091,6.19,108.93,0,0,0.8485,1.0,-,,
11,unsat,0,6,5,0,0,0.824,0.0,0.824,0,0.824,42.589,43.29,0,0.0,43.29,0,0,0.8485,1.0,-,,
12,unsat,0,7,5,1,1,0.776,0.0,0.776,0.024,0.8,100.127,101.97,26.328,26.46,128.43,0,0,0.8485,1.0,-,,
13,unsat,0,8,5,0,0,0.808,0.0,0.808,0,0.808,89.208,90.08,0,0.0,90.08,0,0,0.8485,1.0,-,,
1,unknown,0,0,1,1,0,0.376,0.0,0.376,0.136,0.512,100.212,108.51,101.269,101.62,210.13,0,0,0.8485,1.0,-,,
2,unknown,0,0,2,1,0,0.344,0.0,0.344,0.216,0.56,106.621,116.6,100.496,100.79,217.39,0,0,0.8485,1.0,-,,
3,unknown,0,0,3,1,0,0.44,0.0,0.44,0.144,0.584,101.256,109.07,100.26,100.51,209.58,0,0,0.8485,1.0,-,,
4,unknown,0,0,4,1,0,0.6,0.0,0.6,0.144,0.744,100.277,105.05,100.137,100.27,205.32,0,0,0.8485,1.0,-,,
5,unsat,0,1,4,1,1,0.768,0.0,0.768,0.048,0.816,100.117,102.14,6.139,6.23,108.37,0,0,0.8485,1.0,-,,
6,unsat,0,2,4,0,0,0.8,0.0,0.8,0,0.8,43.55,44.12,0,0.0,44.12,0,0,0.8485,1.0,-,,
7,unknown,0,2,5,1,0,0.464,0.0,0.464,0.128,0.592,103.454,110.58,100.142,100.39,210.97,0,0,0.8485,1.0,-,,
