Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9307,0.0,0.9307,0,0.9307,35.578,36.34,0,0.0,36.34,1,1,0.847,1.0,-,[59.  4.  0. 13.  3.  0.  1.  0.  1.  0. 11. 71. 31.],[59.  4.  0. 13.  3.  0.  1.  0.  0.  0. 11. 71. 31.]
2,sat,2,0,0,0,0,0.9208,0.0,0.9208,0,0.9208,6.283,6.78,0,0.0,6.78,1,1,0.847,1.0,-,[62.  3.  2. 10.  6.  3.  0.  0.  1.  0.  7. 61. 40.],[62.  3.  2. 10.  6.  3.  0.  0.  0.  0.  7. 61. 40.]
3,unsat,2,1,0,0,0,0.9109,0.0,0.9109,0,0.9109,36.597,37.61,0,0.0,37.61,0,0,0.847,1.0,-,,
4,unsat,2,2,0,1,1,0.8614,0.0,0.8614,0.0297,0.8911,100.051,101.37,87.99,88.06,189.43,0,0,0.847,1.0,-,,
5,sat,3,2,0,0,0,0.9307,0.0,0.9307,0,0.9307,32.497,32.99,0,0.0,32.99,1,1,0.847,1.0,-,[73.  4.  9. 12.  5.  1.  0.  0.  0.  0.  0. 90. 26.],[73.  4.  9. 12.  5.  1.  0.  0.  1.  0.  0. 90. 26.]
6,unknown,3,2,1,1,0,0.6634,0.0,0.6634,0.1386,0.802,100.022,104.27,100.087,100.21,204.48,0,0,0.847,1.0,-,,
7,sat,4,2,1,0,0,0.9109,0.0,0.9109,0,0.9109,37.633,38.39,0,0.0,38.39,1,1,0.847,1.0,-,[90.  0.  0. 16.  0.  1.  5.  4.  1.  0.  0. 60.  0.],[90.  0.  0. 16.  0.  1.  5.  4.  0.  0.  0. 60.  0.]
8,unknown,4,2,2,1,0,0.6931,0.0,0.6931,0.1089,0.802,100.107,104.36,100.014,100.14,204.49,0,0,0.847,1.0,-,,
9,unsat,4,3,2,0,0,0.8911,0.0,0.8911,0,0.8911,88.756,89.01,0,0.0,89.01,0,0,0.847,1.0,-,,
10,sat,5,3,2,1,1,0.8614,0.0,0.8614,0.0495,0.9109,100.024,101.83,30.794,30.86,132.69,1,1,0.847,1.0,-,[ 32.   0.  10.   7.   0.   2.   5.   4.   0.   0.  13. 100.  10.],[ 32.   0.  10.   7.   0.   2.   5.   4.   1.   0.  13. 100.  10.]
11,unknown,5,3,3,1,0,0.8416,0.0,0.8416,0.0099,0.8515,100.122,100.92,100.02,100.12,201.03,0,0,0.847,1.0,-,,
12,unsat,5,4,3,0,0,0.9109,0.0,0.9109,0,0.9109,24.836,25.08,0,0.0,25.08,0,0,0.847,1.0,-,,
13,sat,6,4,3,0,0,0.9307,0.0,0.9307,0,0.9307,14.805,15.3,0,0.0,15.3,1,1,0.847,1.0,-,[89.  0. 15. 16.  0.  0.  2.  4.  1.  1.  0. 30. 29.],[89.  0. 15. 16.  0.  0.  2.  4.  0.  1.  0. 30. 29.]
14,sat,7,4,3,0,0,0.8812,0.0,0.8812,0,0.8812,8.623,10.18,0,0.0,10.18,1,1,0.847,1.0,-,[39.  0.  0.  5.  0. 11.  0.  0.  1.  0. 18. 41. 40.],[39.  0.  0.  5.  0. 11.  0.  0.  0.  0. 18. 41. 40.]
15,sat,8,4,3,0,0,0.9208,0.0,0.9208,0,0.9208,4.565,5.58,0,0.0,5.58,1,1,0.847,1.0,-,[99.  2.  0.  1.  0.  0.  2.  0.  0.  2.  3. 71. 30.],[99.  2.  0.  1.  0.  0.  2.  0.  1.  2.  3. 71. 30.]
16,unknown,8,4,4,1,0,0.802,0.0,0.802,0.0297,0.8317,100.099,101.69,100.077,100.18,201.88,0,0,0.847,1.0,-,,
17,unknown,8,4,5,1,0,0.802,0.0,0.802,0.0198,0.8218,100.261,101.59,100.019,100.13,201.72,0,0,0.847,1.0,-,,
18,unsat,8,5,5,0,0,0.9109,0.0,0.9109,0,0.9109,53.444,53.69,0,0.0,53.69,0,0,0.847,1.0,-,,
19,unsat,8,6,5,0,0,0.9406,0.0,0.9406,0,0.9406,2.593,3.08,0,0.0,3.08,0,0,0.847,1.0,-,,
20,sat,9,6,5,1,1,0.8713,0.0,0.8713,0.0594,0.9307,100.007,101.82,14.075,14.13,115.95,1,1,0.847,1.0,-,[50.  5.  3. 10.  0.  4.  4.  0.  1.  0.  9. 55. 10.],[50.  5.  3. 10.  0.  4.  4.  0.  0.  0.  9. 55. 10.]
