Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.1087,0.0,0.1087,0.0435,0.1522,100.018,100.51,100.037,100.15,200.66,0,0,0.8423,1.0,-,,
2,unknown,0,0,2,1,0,0.1522,0.0,0.1522,0.0217,0.1739,100.061,100.46,100.091,100.19,200.65,0,0,0.8423,1.0,-,,
3,unknown,0,0,3,1,0,0.1087,0.0,0.1087,0.0217,0.1304,100.014,100.44,100.015,100.13,200.57,0,0,0.8423,1.0,-,,
4,unsat,0,1,3,0,0,0.5,0.0,0.5,0,0.5,4.451,4.83,0,0.0,4.83,0,0,0.8423,1.0,-,,
5,unsat,0,2,3,1,1,0.2174,0.0217,0.2391,0.2391,0.4783,100.018,100.78,15.629,15.7,116.48,0,0,0.8423,1.0,-,,
6,unsat,0,3,3,0,0,0.5,0.0,0.5,0,0.5,3.269,3.65,0,0.0,3.65,0,0,0.8423,1.0,-,,
7,unsat,0,4,3,0,0,0.5,0.0,0.5,0,0.5,4.79,5.17,0,0.0,5.17,0,0,0.8423,1.0,-,,
8,unsat,0,5,3,0,0,0.5,0.0,0.5,0,0.5,6.361,6.75,0,0.0,6.75,0,0,0.8423,1.0,-,,
9,unsat,0,6,3,0,0,0.5,0.0,0.5,0,0.5,5.29,5.67,0,0.0,5.67,0,0,0.8423,1.0,-,,
10,unsat,0,7,3,0,0,0.5,0.0,0.5,0,0.5,7.211,7.59,0,0.0,7.59,0,0,0.8423,1.0,-,,
11,unsat,0,8,3,0,0,0.5,0.0,0.5,0,0.5,3.847,4.23,0,0.0,4.23,0,0,0.8423,1.0,-,,
12,unsat,0,9,3,0,0,0.5,0.0,0.5,0,0.5,3.643,4.02,0,0.0,4.02,0,0,0.8423,1.0,-,,
13,unknown,0,9,4,1,0,0.1304,0.0,0.1304,0.0435,0.1739,100.318,100.76,100.175,100.28,201.04,0,0,0.8423,1.0,-,,
14,unknown,0,9,5,1,0,0.1087,0.0,0.1087,0.0435,0.1522,100.063,100.52,100.342,100.45,200.97,0,0,0.8423,1.0,-,,
15,unknown,0,9,6,1,0,0.1522,0.0,0.1522,0.0217,0.1739,100.017,100.41,100.049,100.16,200.57,0,0,0.8423,1.0,-,,
16,unsat,0,10,6,0,0,0.5,0.0,0.5,0,0.5,5.054,5.44,0,0.0,5.44,0,0,0.8423,1.0,-,,
17,unsat,0,11,6,0,0,0.5,0.0,0.5,0,0.5,2.899,3.29,0,0.0,3.29,0,0,0.8423,1.0,-,,
18,unknown,0,11,7,1,0,0.1087,0.0,0.1087,0.0217,0.1304,100.357,100.77,100.015,100.13,200.9,0,0,0.8423,1.0,-,,
19,unsat,0,12,7,0,0,0.5,0.0,0.5,0,0.5,3.022,3.4,0,0.0,3.4,0,0,0.8423,1.0,-,,
20,unsat,0,13,7,0,0,0.5,0.0,0.5,0,0.5,2.959,3.34,0,0.0,3.34,0,0,0.8423,1.0,-,,
21,unsat,0,14,7,0,0,0.5,0.0,0.5,0,0.5,6.923,7.3,0,0.0,7.3,0,0,0.8423,1.0,-,,
22,unsat,0,15,7,0,0,0.5,0.0,0.5,0,0.5,3.258,3.64,0,0.0,3.64,0,0,0.8423,1.0,-,,
23,unknown,0,15,8,1,0,0.1304,0.0,0.1304,0.0217,0.1522,100.04,100.44,100.056,100.17,200.61,0,0,0.8423,1.0,-,,
24,unknown,0,15,9,1,0,0.1087,0.0,0.1087,0.0435,0.1522,100.299,100.76,100.356,100.47,201.23,0,0,0.8423,1.0,-,,
