Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.56,0.0,0.56,0,0.56,6.434,6.6,0,0.0,6.6,0,0,0.796,1.0,-,,
2,unsat,0,2,0,0,0,0.56,0.0,0.56,0,0.56,11.86,12.02,0,0.0,12.02,0,0,0.796,1.0,-,,
3,unsat,0,3,0,0,0,0.56,0.0,0.56,0,0.56,9.515,9.67,0,0.0,9.67,0,0,0.796,1.0,-,,
4,unsat,0,4,0,0,0,0.56,0.0,0.56,0,0.56,6.818,6.97,0,0.0,6.97,0,0,0.796,1.0,-,,
5,unsat,0,5,0,0,0,0.56,0.0,0.56,0,0.56,6.461,6.64,0,0.0,6.64,0,0,0.796,1.0,-,,
6,sat,1,5,0,0,0,0.56,0.0,0.56,0,0.56,2.695,2.85,0,0.0,2.86,1,1,0.796,1.0,-,"['1', '0', '2', '5', '1', '6562', '1', '1', '1', '6', '11', '900', '41', '300', '7', '1']","['1', '0', '2', '6', '1', '6562', '1', '1', '1', '6', '11', '900', '41', '300', '7', '1']"
7,unsat,1,6,0,0,0,0.56,0.0,0.56,0,0.56,7.431,7.59,0,0.0,7.59,0,0,0.796,1.0,-,,
8,unsat,1,7,0,0,0,0.56,0.0,0.56,0,0.56,7.314,7.47,0,0.0,7.47,0,0,0.796,1.0,-,,
9,unsat,1,8,0,0,0,0.56,0.0,0.56,0,0.56,6.504,6.67,0,0.0,6.67,0,0,0.796,1.0,-,,
10,unknown,1,8,1,1,0,0.52,0.0,0.52,0.0,0.52,6.153,6.32,0.973,1.03,7.34,0,0,0.796,1.0,-,,
1,unsat,0,1,0,0,0,0.52,0.0,0.52,0,0.52,14.788,14.97,0,0.0,14.97,0,0,0.796,1.0,-,,
2,unsat,0,2,0,0,0,0.56,0.0,0.56,0,0.56,8.175,8.34,0,0.0,8.34,0,0,0.796,1.0,-,,
3,unsat,0,3,0,0,0,0.56,0.0,0.56,0,0.56,7.824,8.0,0,0.0,8.0,0,0,0.796,1.0,-,,
4,unsat,0,4,0,0,0,0.56,0.0,0.56,0,0.56,6.235,6.4,0,0.0,6.4,0,0,0.796,1.0,-,,
5,unsat,0,5,0,0,0,0.52,0.0,0.52,0,0.52,24.986,25.16,0,0.0,25.16,0,0,0.796,1.0,-,,
6,unsat,0,6,0,0,0,0.56,0.0,0.56,0,0.56,7.171,7.36,0,0.0,7.36,0,0,0.796,1.0,-,,
7,unsat,0,7,0,0,0,0.56,0.0,0.56,0,0.56,6.683,6.88,0,0.0,6.88,0,0,0.796,1.0,-,,
8,unsat,0,8,0,0,0,0.52,0.0,0.52,0,0.52,8.683,8.86,0,0.0,8.86,0,0,0.796,1.0,-,,
9,unsat,0,9,0,0,0,0.56,0.0,0.56,0,0.56,31.016,31.18,0,0.0,31.18,0,0,0.796,1.0,-,,
10,unsat,0,10,0,0,0,0.56,0.0,0.56,0,0.56,6.355,6.52,0,0.0,6.52,0,0,0.796,1.0,-,,
11,unsat,0,11,0,0,0,0.56,0.0,0.56,0,0.56,7.496,7.67,0,0.0,7.67,0,0,0.796,1.0,-,,
12,unsat,0,12,0,0,0,0.56,0.0,0.56,0,0.56,7.899,8.07,0,0.0,8.07,0,0,0.796,1.0,-,,
13,unsat,0,13,0,0,0,0.52,0.0,0.52,0,0.52,29.799,29.97,0,0.0,29.97,0,0,0.796,1.0,-,,
14,unsat,0,14,0,0,0,0.56,0.0,0.56,0,0.56,10.015,10.19,0,0.0,10.19,0,0,0.796,1.0,-,,
15,unsat,0,15,0,0,0,0.56,0.0,0.56,0,0.56,11.223,11.39,0,0.0,11.39,0,0,0.796,1.0,-,,
16,unsat,0,16,0,0,0,0.56,0.0,0.56,0,0.56,12.504,12.67,0,0.0,12.67,0,0,0.796,1.0,-,,
17,unsat,0,17,0,0,0,0.56,0.0,0.56,0,0.56,6.925,7.11,0,0.0,7.11,0,0,0.796,1.0,-,,
18,unsat,0,18,0,0,0,0.56,0.0,0.56,0,0.56,8.716,8.9,0,0.0,8.9,0,0,0.796,1.0,-,,
19,unsat,0,19,0,0,0,0.56,0.0,0.56,0,0.56,6.489,6.67,0,0.0,6.67,0,0,0.796,1.0,-,,
1,unsat,0,1,0,0,0,0.52,0.0,0.52,0,0.52,11.82,12.05,0,0.0,12.05,0,0,0.796,1.0,-,,
2,unsat,0,2,0,0,0,0.56,0.0,0.56,0,0.56,5.44,5.61,0,0.0,5.61,0,0,0.796,1.0,-,,
3,unsat,0,3,0,0,0,0.56,0.0,0.56,0,0.56,6.638,6.81,0,0.0,6.81,0,0,0.796,1.0,-,,
4,unsat,0,4,0,0,0,0.56,0.0,0.56,0,0.56,7.823,8.0,0,0.0,8.0,0,0,0.796,1.0,-,,
5,unsat,0,5,0,0,0,0.56,0.0,0.56,0,0.56,10.807,10.98,0,0.0,10.98,0,0,0.796,1.0,-,,
6,unsat,0,6,0,0,0,0.56,0.0,0.56,0,0.56,8.715,8.89,0,0.0,8.89,0,0,0.796,1.0,-,,
7,unsat,0,7,0,0,0,0.52,0.0,0.52,0,0.52,25.362,25.57,0,0.0,25.57,0,0,0.796,1.0,-,,
8,unsat,0,8,0,0,0,0.56,0.0,0.56,0,0.56,7.322,7.49,0,0.0,7.49,0,0,0.796,1.0,-,,
9,unsat,0,9,0,0,0,0.56,0.0,0.56,0,0.56,7.743,7.92,0,0.0,7.92,0,0,0.796,1.0,-,,
10,unsat,0,10,0,0,0,0.56,0.0,0.56,0,0.56,8.622,8.8,0,0.0,8.8,0,0,0.796,1.0,-,,
11,unsat,0,11,0,0,0,0.56,0.0,0.56,0,0.56,5.276,5.45,0,0.0,5.45,0,0,0.796,1.0,-,,
12,unsat,0,12,0,0,0,0.52,0.0,0.52,0,0.52,20.463,20.72,0,0.0,20.72,0,0,0.796,1.0,-,,
13,unsat,0,13,0,0,0,0.52,0.0,0.52,0,0.52,10.353,10.54,0,0.0,10.54,0,0,0.796,1.0,-,,
14,unsat,0,14,0,0,0,0.56,0.0,0.56,0,0.56,6.758,6.93,0,0.0,6.93,0,0,0.796,1.0,-,,
15,unsat,0,15,0,0,0,0.56,0.0,0.56,0,0.56,12.467,12.63,0,0.0,12.63,0,0,0.796,1.0,-,,
16,unsat,0,16,0,0,0,0.56,0.0,0.56,0,0.56,6.806,6.99,0,0.0,6.99,0,0,0.796,1.0,-,,
17,unsat,0,17,0,0,0,0.56,0.0,0.56,0,0.56,7.002,7.17,0,0.0,7.17,0,0,0.796,1.0,-,,
18,unsat,0,18,0,0,0,0.52,0.0,0.52,0,0.52,9.407,9.58,0,0.0,9.58,0,0,0.796,1.0,-,,
