Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.56,0.0,0.56,0,0.56,45.955,47.05,0,0.0,47.05,0,0,0.796,1.0,-,,
2,unsat,0,2,0,0,0,0.52,0.0,0.52,0,0.52,6.423,6.59,0,0.0,6.59,0,0,0.796,1.0,-,,
3,unsat,0,3,0,0,0,0.56,0.0,0.56,0,0.56,9.224,9.39,0,0.0,9.39,0,0,0.796,1.0,-,,
4,sat,1,3,0,0,0,0.52,0.0,0.52,0,0.52,17.014,17.18,0,0.0,17.18,1,1,0.796,1.0,-,"[1.0000e+00 0.0000e+00 2.0000e+00 1.0000e+00 1.0000e+00 3.3077e+04
 1.0000e+00 1.0000e+00 1.0000e+00 6.0000e+00 1.0000e+01 1.0000e+02
 5.0000e+01 5.0000e+02 7.0000e+00 0.0000e+00]","[1.0000e+00 0.0000e+00 2.0000e+00 0.0000e+00 1.0000e+00 3.3077e+04
 1.0000e+00 1.0000e+00 1.0000e+00 6.0000e+00 1.0000e+01 1.0000e+02
 5.0000e+01 5.0000e+02 7.0000e+00 0.0000e+00]"
5,unsat,1,4,0,0,0,0.56,0.0,0.56,0,0.56,5.904,6.06,0,0.0,6.06,0,0,0.796,1.0,-,,
6,unsat,1,5,0,0,0,0.56,0.0,0.56,0,0.56,5.282,5.45,0,0.0,5.45,0,0,0.796,1.0,-,,
7,unsat,1,6,0,0,0,0.56,0.0,0.56,0,0.56,5.769,5.93,0,0.0,5.93,0,0,0.796,1.0,-,,
8,unsat,1,7,0,0,0,0.56,0.0,0.56,0,0.56,5.849,6.01,0,0.0,6.01,0,0,0.796,1.0,-,,
9,unsat,1,8,0,0,0,0.52,0.0,0.52,0,0.52,22.111,22.27,0,0.0,22.27,0,0,0.796,1.0,-,,
10,unsat,1,9,0,0,0,0.56,0.0,0.56,0,0.56,6.097,6.25,0,0.0,6.25,0,0,0.796,1.0,-,,
11,unsat,1,10,0,0,0,0.56,0.0,0.56,0,0.56,9.289,9.45,0,0.0,9.45,0,0,0.796,1.0,-,,
12,unsat,1,11,0,0,0,0.56,0.0,0.56,0,0.56,7.596,7.75,0,0.0,7.75,0,0,0.796,1.0,-,,
13,unsat,1,12,0,0,0,0.56,0.0,0.56,0,0.56,8.119,8.28,0,0.0,8.28,0,0,0.796,1.0,-,,
14,unsat,1,13,0,0,0,0.56,0.0,0.56,0,0.56,7.839,8.0,0,0.0,8.0,0,0,0.796,1.0,-,,
15,unsat,1,14,0,0,0,0.56,0.0,0.56,0,0.56,7.228,7.38,0,0.0,7.38,0,0,0.796,1.0,-,,
16,unsat,1,15,0,0,0,0.56,0.0,0.56,0,0.56,6.289,6.45,0,0.0,6.45,0,0,0.796,1.0,-,,
17,unsat,1,16,0,0,0,0.56,0.0,0.56,0,0.56,6.306,6.47,0,0.0,6.47,0,0,0.796,1.0,-,,
18,unsat,1,17,0,0,0,0.56,0.0,0.56,0,0.56,6.226,6.39,0,0.0,6.39,0,0,0.796,1.0,-,,
19,unsat,1,18,0,0,0,0.56,0.0,0.56,0,0.56,8.46,8.62,0,0.0,8.62,0,0,0.796,1.0,-,,
20,unsat,1,19,0,0,0,0.56,0.0,0.56,0,0.56,6.836,6.99,0,0.0,6.99,0,0,0.796,1.0,-,,
21,unsat,1,20,0,0,0,0.56,0.0,0.56,0,0.56,7.829,7.99,0,0.0,7.99,0,0,0.796,1.0,-,,
22,sat,2,20,0,0,0,0.56,0.0,0.56,0,0.56,4.969,5.13,0,0.0,5.13,1,1,0.796,1.0,-,"[1.000e+00 0.000e+00 2.000e+00 6.000e+00 1.000e+00 8.962e+03 1.000e+00
 1.000e+00 1.000e+00 3.000e+00 1.100e+01 3.640e+02 2.500e+01 6.400e+01
 7.000e+00 2.000e+00]","[1.000e+00 0.000e+00 2.000e+00 3.000e+00 1.000e+00 8.962e+03 1.000e+00
 1.000e+00 1.000e+00 3.000e+00 1.100e+01 3.640e+02 2.500e+01 6.400e+01
 7.000e+00 2.000e+00]"
23,sat,3,20,0,0,0,0.52,0.0,0.52,0,0.52,29.3,29.5,0,0.0,29.5,1,1,0.796,1.0,-,"[1.000e+00 0.000e+00 0.000e+00 6.000e+00 1.000e+00 1.562e+03 0.000e+00
 0.000e+00 1.000e+00 3.000e+00 5.000e+00 4.000e+02 1.000e+01 4.000e+02
 0.000e+00 0.000e+00]","[1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 1.562e+03 0.000e+00
 0.000e+00 1.000e+00 3.000e+00 5.000e+00 4.000e+02 1.000e+01 4.000e+02
 0.000e+00 0.000e+00]"
24,unknown,3,20,1,1,0,0.56,0.0,0.56,0.0,0.56,62.125,62.28,0.875,0.96,63.24,0,0,0.796,1.0,-,,
