Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.642,0.0,0.642,0.0494,0.6914,100.091,102.21,100.026,100.13,202.34,0,0,0.892,1.0,-,,
2,unsat,0,1,1,0,0,0.9259,0.0,0.9259,0,0.9259,0.053,0.38,0,0.0,0.38,0,0,0.892,1.0,-,,
3,unknown,0,1,2,1,0,0.6667,0.0,0.6667,0.0741,0.7407,100.514,102.5,100.045,100.14,202.63,0,0,0.892,1.0,-,,
4,unsat,0,2,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.024,0.2,0,0.0,0.2,0,0,0.892,1.0,-,,
5,unsat,0,3,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.025,0.34,0,0.0,0.34,0,0,0.892,1.0,-,,
6,sat,1,3,2,0,0,0.9136,0.0,0.9136,0,0.9136,1.85,2.18,0,0.0,2.18,1,1,0.892,1.0,-,"[  0.   0.   1.   0.   0.   0.   0.   1.   4.   6. 883.  -1.  45. 984.
   0.   2.]","[  1.   0.   1.   0.   0.   0.   0.   1.   4.   6. 883.  -1.  45. 984.
   0.   2.]"
7,unsat,1,4,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.022,0.2,0,0.0,0.2,0,0,0.892,1.0,-,,
8,unsat,1,5,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.026,0.2,0,0.0,0.2,0,0,0.892,1.0,-,,
9,unsat,1,6,2,0,0,0.9259,0.0,0.9259,0,0.9259,0.048,0.22,0,0.0,0.22,0,0,0.892,1.0,-,,
10,unsat,1,7,2,0,0,0.9259,0.0,0.9259,0,0.9259,0.046,0.37,0,0.0,0.37,0,0,0.892,1.0,-,,
11,unsat,1,8,2,0,0,0.9259,0.0,0.9259,0,0.9259,0.057,0.52,0,0.0,0.52,0,0,0.892,1.0,-,,
12,unsat,1,9,2,0,0,0.9259,0.0,0.9259,0,0.9259,0.047,0.37,0,0.0,0.37,0,0,0.892,1.0,-,,
13,unsat,1,10,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.025,0.2,0,0.0,0.2,0,0,0.892,1.0,-,,
14,sat,2,10,2,0,0,0.8519,0.0,0.8519,0,0.8519,13.281,13.63,0,0.0,13.63,1,1,0.892,1.0,-,"[  1.   4.   2.   0.   0.   1.   0.   1.   9.   6. 675.   1.  49. 324.
   6.   2.]","[  0.   4.   2.   0.   0.   1.   0.   1.   9.   6. 675.   1.  49. 324.
   6.   2.]"
15,unsat,2,11,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.025,0.2,0,0.0,0.2,0,0,0.892,1.0,-,,
16,sat,3,11,2,0,0,0.8519,0.0,0.8519,0,0.8519,39.367,40.15,0,0.0,40.15,1,1,0.892,1.0,-,"[  0.   0.   2.   6.   0.   1.   1.   0.   5.   3. 590.  -3.  48. 986.
   0.   2.]","[  1.   0.   2.   6.   0.   1.   1.   0.   5.   3. 590.  -3.  48. 986.
   0.   2.]"
17,unsat,3,12,2,0,0,0.9259,0.0,0.9259,0,0.9259,0.043,0.5,0,0.0,0.5,0,0,0.892,1.0,-,,
18,unsat,3,13,2,0,0,0.9506,0.0,0.9506,0,0.9506,0.027,0.35,0,0.0,0.35,0,0,0.892,1.0,-,,
