Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.115,0.0,0.115,0.0354,0.1504,47.593,51.69,1.105,2.51,54.2,0,0,0.7555,1.0,-,,
1,unknown,0,0,1,1,0,0.1062,0.0,0.1062,0.0354,0.1416,100.115,105.32,100.25,101.64,206.96,0,0,0.7555,1.0,-,,
2,unknown,0,0,2,1,0,0.0973,0.0,0.0973,0.0442,0.1416,100.138,105.09,100.299,101.7,206.79,0,0,0.7555,1.0,-,,
3,unknown,0,0,3,1,0,0.0088,0.0,0.0088,0.0088,0.0177,100.169,105.12,100.063,101.67,206.79,0,0,0.7555,1.0,-,,
4,unknown,0,0,4,1,0,0.0354,0.0,0.0354,0.0265,0.0619,100.185,105.86,100.171,101.69,207.55,0,0,0.7555,1.0,-,,
5,unknown,0,0,5,1,0,0.0265,0.0,0.0265,0.0,0.0265,100.062,105.0,100.189,101.82,206.83,0,0,0.7555,1.0,-,,
6,unknown,0,0,6,1,0,0.1239,0.0,0.1239,0.0265,0.1504,101.046,107.22,101.18,102.61,209.83,0,0,0.7555,1.0,-,,
7,unknown,0,0,7,1,0,0.115,0.0,0.115,0.0442,0.1593,100.319,105.2,100.483,101.86,207.06,0,0,0.7555,1.0,-,,
8,unknown,0,0,8,1,0,0.1327,0.0,0.1327,0.0354,0.1681,100.022,105.82,100.715,102.34,208.15,0,0,0.7555,1.0,-,,
9,unknown,0,0,9,1,0,0.0973,0.0,0.0973,0.0619,0.1593,100.46,106.59,100.097,101.46,208.05,0,0,0.7555,1.0,-,,
