Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,1,1,0.7843,0.0,0.7843,0.0392,0.8235,100.089,100.79,6.722,6.81,107.6,1,1,0.7267,1.0,-,"[0.0e+00 1.1e+01 0.0e+00 8.0e+00 1.5e+04 0.0e+00 0.0e+00 2.0e+00 2.0e+00
 4.0e+00 2.0e+00 1.0e+00 0.0e+00 1.0e+00 1.0e+00 0.0e+00 2.0e+00 0.0e+00
 1.0e+00 0.0e+00]","[0.0e+00 1.1e+01 0.0e+00 8.0e+00 1.5e+04 0.0e+00 0.0e+00 2.0e+00 2.0e+00
 4.0e+00 2.0e+00 0.0e+00 0.0e+00 1.0e+00 1.0e+00 0.0e+00 2.0e+00 0.0e+00
 1.0e+00 0.0e+00]"
2,sat,2,0,0,0,0,0.7843,0.0,0.7843,0,0.7843,20.175,21.01,0,0.0,21.01,1,1,0.7267,1.0,-,"[0.0e+00 1.0e+00 0.0e+00 0.0e+00 1.3e+04 2.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00 1.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]","[0.0e+00 1.0e+00 0.0e+00 0.0e+00 1.3e+04 2.0e+00 0.0e+00 1.0e+00 0.0e+00
 1.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]"
3,sat,3,0,0,1,1,0.7255,0.0,0.7255,0.0588,0.7843,100.019,100.88,73.231,73.33,174.21,1,1,0.7267,1.0,-,"[2.000e+00 7.100e+01 2.000e+00 0.000e+00 5.399e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 1.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00
 4.000e+00 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00]","[2.000e+00 7.100e+01 2.000e+00 0.000e+00 5.399e+03 0.000e+00 0.000e+00
 4.000e+00 0.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00
 4.000e+00 3.000e+00 2.000e+00 1.000e+00 1.000e+00 0.000e+00]"
4,sat,4,0,0,1,1,0.7451,0.0,0.7451,0.0784,0.8235,100.044,101.15,0.341,0.42,101.58,1,1,0.7267,1.0,-,"[2.e+00 8.e+01 0.e+00 0.e+00 7.e+03 0.e+00 0.e+00 1.e+00 0.e+00 4.e+00
 0.e+00 1.e+00 2.e+00 0.e+00 1.e+00 0.e+00 1.e+00 0.e+00 1.e+00 0.e+00]","[2.e+00 8.e+01 0.e+00 0.e+00 7.e+03 0.e+00 0.e+00 1.e+00 0.e+00 4.e+00
 0.e+00 0.e+00 2.e+00 0.e+00 1.e+00 0.e+00 1.e+00 0.e+00 1.e+00 0.e+00]"
5,sat,5,0,0,0,0,0.7843,0.0,0.7843,0,0.7843,19.785,20.41,0,0.0,20.41,1,1,0.7267,1.0,-,"[0.0e+00 4.6e+01 1.0e+00 9.0e+00 1.9e+04 0.0e+00 2.0e+00 1.0e+00 2.0e+00
 4.0e+00 0.0e+00 1.0e+00 2.0e+00 2.0e+00 1.0e+00 0.0e+00 2.0e+00 1.0e+00
 0.0e+00 1.0e+00]","[0.0e+00 4.6e+01 1.0e+00 9.0e+00 1.9e+04 0.0e+00 2.0e+00 1.0e+00 2.0e+00
 4.0e+00 0.0e+00 0.0e+00 2.0e+00 2.0e+00 1.0e+00 0.0e+00 2.0e+00 1.0e+00
 0.0e+00 1.0e+00]"
6,sat,6,0,0,0,0,0.7843,0.0,0.7843,0,0.7843,18.648,19.3,0,0.0,19.3,1,1,0.7267,1.0,-,"[0.00e+00 3.00e+00 1.00e+00 2.00e+00 1.86e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 4.00e+00 2.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 2.00e+00 0.00e+00 1.00e+00 1.00e+00]","[0.00e+00 3.00e+00 1.00e+00 2.00e+00 1.86e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 4.00e+00 2.00e+00 0.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 2.00e+00 0.00e+00 1.00e+00 1.00e+00]"
7,sat,7,0,0,1,1,0.7255,0.0,0.7255,0.098,0.8235,100.11,101.37,4.924,5.01,106.37,1,1,0.7267,1.0,-,"[0.0e+00 2.9e+01 0.0e+00 0.0e+00 5.7e+03 2.0e+00 0.0e+00 4.0e+00 2.0e+00
 4.0e+00 1.0e+00 1.0e+00 0.0e+00 2.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 1.0e+00]","[0.0e+00 2.9e+01 0.0e+00 0.0e+00 5.7e+03 2.0e+00 0.0e+00 4.0e+00 2.0e+00
 4.0e+00 1.0e+00 0.0e+00 0.0e+00 2.0e+00 1.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 1.0e+00]"
8,sat,8,0,0,0,0,0.7843,0.0,0.7843,0,0.7843,35.649,36.27,0,0.0,36.27,1,1,0.7267,1.0,-,"[1.00e+00 0.00e+00 0.00e+00 0.00e+00 1.93e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 2.00e+00 1.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 1.00e+00 0.00e+00 1.00e+00 0.00e+00]","[1.00e+00 0.00e+00 0.00e+00 0.00e+00 1.93e+04 0.00e+00 0.00e+00 1.00e+00
 0.00e+00 1.00e+00 2.00e+00 0.00e+00 0.00e+00 0.00e+00 2.00e+00 0.00e+00
 1.00e+00 0.00e+00 1.00e+00 0.00e+00]"
9,sat,9,0,0,0,0,0.7255,0.0,0.7255,0,0.7255,75.208,76.05,0,0.0,76.05,1,1,0.7267,1.0,-,"[0.0e+00 0.0e+00 0.0e+00 0.0e+00 5.2e+03 0.0e+00 0.0e+00 4.0e+00 0.0e+00
 4.0e+00 2.0e+00 0.0e+00 1.0e+00 0.0e+00 4.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]","[0.0e+00 0.0e+00 0.0e+00 0.0e+00 5.2e+03 0.0e+00 0.0e+00 4.0e+00 0.0e+00
 4.0e+00 2.0e+00 1.0e+00 1.0e+00 0.0e+00 4.0e+00 0.0e+00 1.0e+00 0.0e+00
 0.0e+00 0.0e+00]"
10,sat,10,0,0,1,1,0.7451,0.0,0.7451,0.0784,0.8235,100.068,101.06,2.469,2.55,103.61,1,1,0.7267,1.0,-,"[0.000e+00 3.800e+01 2.000e+00 0.000e+00 6.999e+03 0.000e+00 0.000e+00
 2.000e+00 1.000e+00 1.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00
 4.000e+00 3.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00]","[0.000e+00 3.800e+01 2.000e+00 0.000e+00 6.999e+03 0.000e+00 0.000e+00
 2.000e+00 1.000e+00 1.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00
 4.000e+00 3.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00]"
