Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.52,0.0,0.52,0.0,0.52,100.023,100.3,100.011,100.07,200.37,0,0,0.8455,1.0,-,,
2,unsat,0,1,1,0,0,0.52,0.0,0.52,0,0.52,81.776,82.1,0,0.0,82.1,0,0,0.8455,1.0,-,,
3,unknown,0,1,2,1,0,0.24,0.0,0.24,0.04,0.28,100.011,100.38,100.092,100.18,200.56,0,0,0.8455,1.0,-,,
4,unknown,0,1,3,1,0,0.52,0.0,0.52,0.0,0.52,100.009,100.25,100.056,100.12,200.37,0,0,0.8455,1.0,-,,
5,unknown,0,1,4,1,0,0.28,0.0,0.28,0.0,0.28,100.037,100.35,100.069,100.16,200.51,0,0,0.8455,1.0,-,,
6,unknown,0,1,5,1,0,0.52,0.0,0.52,0.0,0.52,100.09,100.33,100.056,100.12,200.45,0,0,0.8455,1.0,-,,
7,unknown,0,1,6,1,0,0.52,0.0,0.52,0.0,0.52,100.009,100.26,100.04,100.1,200.36,0,0,0.8455,1.0,-,,
8,unsat,0,2,6,1,1,0.44,0.0,0.44,0.08,0.52,100.02,100.37,95.535,95.59,195.96,0,0,0.8455,1.0,-,,
9,unknown,0,2,7,1,0,0.04,0.0,0.04,0.04,0.08,100.678,101.02,100.349,100.47,201.5,0,0,0.8455,1.0,-,,
10,unknown,0,2,8,1,0,0.08,0.0,0.08,0.08,0.16,100.683,101.07,100.373,100.48,201.55,0,0,0.8455,1.0,-,,
