Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.0769,0.0,0.0769,0,0.0769,8.119,8.32,0,0.0,8.32,1,1,0.832,1.0,-,[56.  2.  9. 11.  6.  0.  4.  4.  0.  2.  0. 81. 40.],[56.  2.  9. 11.  6.  0.  4.  4.  1.  2.  0. 81. 40.]
2,sat,2,0,0,0,0,0.0769,0.0,0.0769,0,0.0769,5.1,5.34,0,0.0,5.34,1,1,0.832,1.0,-,[62.  3.  8. 11.  5.  7.  1.  4.  1.  1.  4. 62. 13.],[62.  3.  8. 11.  5.  7.  1.  4.  0.  1.  4. 62. 13.]
3,sat,3,0,0,0,0,0.0769,0.0,0.0769,0,0.0769,1.447,1.65,0,0.0,1.65,1,1,0.832,1.0,-,[29.  6.  9.  3.  2.  0.  4.  2.  1.  1. 11. 60. 40.],[29.  6.  9.  3.  2.  0.  4.  2.  0.  1. 11. 60. 40.]
4,unsat,3,1,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.187,0.35,0,0.0,0.35,0,0,0.832,1.0,-,,
5,unsat,3,2,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.164,0.32,0,0.0,0.32,0,0,0.832,1.0,-,,
6,unsat,3,3,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.173,0.34,0,0.0,0.34,0,0,0.832,1.0,-,,
7,unsat,3,4,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.093,0.25,0,0.0,0.25,0,0,0.832,1.0,-,,
8,unsat,3,5,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.135,0.3,0,0.0,0.3,0,0,0.832,1.0,-,,
9,unsat,3,6,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.178,0.34,0,0.0,0.34,0,0,0.832,1.0,-,,
10,unsat,3,7,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.203,0.36,0,0.0,0.36,0,0,0.832,1.0,-,,
11,unsat,3,8,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.14,0.3,0,0.0,0.3,0,0,0.832,1.0,-,,
12,unsat,3,9,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.161,0.32,0,0.0,0.32,0,0,0.832,1.0,-,,
13,sat,4,9,0,0,0,0.0769,0.0,0.0769,0,0.0769,3.973,4.17,0,0.0,4.17,1,1,0.832,1.0,-,[84.  4. 14. 11.  3. 13.  0.  3.  0.  0.  0. 50. 39.],[84.  4. 14. 11.  3. 13.  0.  3.  1.  0.  0. 50. 39.]
14,sat,5,9,0,0,0,0.0769,0.0,0.0769,0,0.0769,2.392,2.59,0,0.0,2.59,1,1,0.832,1.0,-,[63.  0. 10. 11.  0. 13.  3.  0.  0.  0. 10.  8. 29.],[63.  0. 10. 11.  0. 13.  3.  0.  1.  0. 10.  8. 29.]
15,sat,6,9,0,0,0,0.0769,0.0,0.0769,0,0.0769,10.853,11.05,0,0.0,11.05,1,1,0.832,1.0,-,[100.   0.  12.   1.   6.   4.   0.   0.   1.   0.  19.  99.  40.],[100.   0.  12.   1.   6.   4.   0.   0.   0.   0.  19.  99.  40.]
16,unsat,6,10,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.166,0.33,0,0.0,0.33,0,0,0.832,1.0,-,,
17,unsat,6,11,0,0,0,0.3077,0.0,0.3077,0,0.3077,0.21,0.37,0,0.0,0.37,0,0,0.832,1.0,-,,
