Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.1327,0.0,0.1327,0.0265,0.1593,100.04,105.82,100.843,101.97,207.79,0,0,0.7555,1.0,-,,
2,unknown,0,0,2,1,0,0.0088,0.0,0.0088,0.0265,0.0354,100.177,104.38,100.141,101.39,205.76,0,0,0.7555,1.0,-,,
3,unknown,0,0,3,1,0,0.1327,0.0,0.1327,0.0265,0.1593,100.274,106.04,100.072,101.29,207.34,0,0,0.7555,1.0,-,,
4,unknown,0,0,4,1,0,0.1062,0.0,0.1062,0.0708,0.177,100.306,105.39,100.441,101.56,206.95,0,0,0.7555,1.0,-,,
5,unknown,0,0,5,1,0,0.0442,0.0,0.0442,0.0,0.0442,100.044,104.23,100.115,101.37,205.6,0,0,0.7555,1.0,-,,
6,unknown,0,0,6,1,0,0.0088,0.0,0.0088,0.0265,0.0354,100.028,105.0,100.533,101.81,206.81,0,0,0.7555,1.0,-,,
7,unknown,0,0,7,1,0,0.1239,0.0,0.1239,0.0354,0.1593,100.296,106.33,101.889,103.04,209.36,0,0,0.7555,1.0,-,,
8,unknown,0,0,8,1,0,0.115,0.0,0.115,0.0531,0.1681,100.019,105.94,100.244,101.64,207.57,0,0,0.7555,1.0,-,,
9,unknown,0,0,9,1,0,0.0,0.0,0.0,0.0354,0.0354,101.141,105.46,100.4,101.64,207.1,0,0,0.7555,1.0,-,,
1,unknown,0,0,1,1,0,0.1062,0.0,0.1062,0.0531,0.1593,500.444,506.53,100.143,101.27,607.8,0,0,0.7555,1.0,-,,
2,unknown,0,0,2,1,0,0.1327,0.0,0.1327,0.0265,0.1593,501.682,507.68,100.229,101.36,609.04,0,0,0.7555,1.0,-,,
3,unknown,0,0,3,1,0,0.115,0.0,0.115,0.0442,0.1593,501.019,506.07,100.407,101.56,607.63,0,0,0.7555,1.0,-,,
