Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.12,0.0,0.12,0.04,0.16,100.512,100.83,100.157,100.26,201.09,0,0,0.8455,1.0,-,,
2,unsat,0,1,1,0,0,0.52,0.0,0.52,0,0.52,40.586,40.87,0,0.0,40.87,0,0,0.8455,1.0,-,,
3,unknown,0,1,2,1,0,0.4,0.0,0.4,0.08,0.48,100.15,100.52,100.079,100.14,200.66,0,0,0.8455,1.0,-,,
4,unsat,0,2,2,1,1,0.48,0.0,0.48,0.12,0.6,100.022,100.38,41.216,41.27,141.65,0,0,0.8455,1.0,-,,
5,unknown,0,2,3,1,0,0.16,0.0,0.16,0.04,0.2,100.024,100.4,100.265,100.36,200.76,0,0,0.8455,1.0,-,,
6,unknown,0,2,4,1,0,0.24,0.0,0.24,0.0,0.24,100.031,100.34,100.01,100.1,200.45,0,0,0.8455,1.0,-,,
7,unknown,0,2,5,1,0,0.32,0.0,0.32,0.12,0.44,100.037,100.46,100.017,100.09,200.55,0,0,0.8455,1.0,-,,
8,unsat,0,3,5,0,0,0.56,0.0,0.56,0,0.56,61.246,61.53,0,0.0,61.53,0,0,0.8455,1.0,-,,
9,unknown,0,3,6,1,0,0.52,0.0,0.52,0.0,0.52,100.011,100.25,100.008,100.07,200.32,0,0,0.8455,1.0,-,,
10,unknown,0,3,7,1,0,0.48,0.0,0.48,0.04,0.52,100.081,100.4,100.012,100.07,200.48,0,0,0.8455,1.0,-,,
11,unknown,0,3,8,1,0,0.08,0.0,0.08,0.04,0.12,100.318,100.64,100.149,100.26,200.9,0,0,0.8455,1.0,-,,
1,unknown,0,0,1,1,0,0.16,0.0,0.16,0.0,0.16,100.069,100.4,100.189,100.29,200.69,0,0,0.8455,1.0,-,,
2,unknown,0,0,2,1,0,0.24,0.0,0.24,0.0,0.24,100.036,100.38,100.221,100.32,200.69,0,0,0.8455,1.0,-,,
3,unknown,0,0,3,1,0,0.12,0.0,0.12,0.08,0.2,100.019,100.44,100.102,100.21,200.65,0,0,0.8455,1.0,-,,
4,unsat,0,1,3,0,0,0.56,0.0,0.56,0,0.56,17.681,17.92,0,0.0,17.92,0,0,0.8455,1.0,-,,
5,unsat,0,2,3,0,0,0.6,0.0,0.6,0,0.6,32.419,32.61,0,0.0,32.61,0,0,0.8455,1.0,-,,
6,unknown,0,2,4,1,0,0.4,0.0,0.4,0.08,0.48,100.311,100.68,100.048,100.12,200.8,0,0,0.8455,1.0,-,,
7,unknown,0,2,5,1,0,0.2,0.0,0.2,0.04,0.24,100.167,100.62,100.008,100.1,200.72,0,0,0.8455,1.0,-,,
8,unknown,0,2,6,1,0,0.28,0.0,0.28,0.04,0.32,100.307,100.68,100.008,100.09,200.78,0,0,0.8455,1.0,-,,
9,unsat,0,3,6,0,0,0.6,0.0,0.6,0,0.6,12.215,12.41,0,0.0,12.41,0,0,0.8455,1.0,-,,
10,unknown,0,3,7,1,0,0.52,0.0,0.52,0.0,0.52,100.01,100.26,100.038,100.1,200.35,0,0,0.8455,1.0,-,,
11,unknown,0,3,8,1,0,0.2,0.0,0.2,0.04,0.24,100.212,100.6,100.247,100.34,200.94,0,0,0.8455,1.0,-,,
12,unknown,0,3,9,1,0,0.16,0.0,0.16,0.04,0.2,100.197,100.5,100.011,100.11,200.62,0,0,0.8455,1.0,-,,
